filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
49.txt, 14.164, 12.78, 12.219, 13.828, 14.115, 4281, 598, 3423, 539, 28, 68, 471, 19.25, 2.714, 12.616
5.txt, 9.109, 6.165, 6.036, 5.507, 9.524, 761, 113, 572, 91, 21, 8, 83, 4.333, 2.692, 8.791
50.txt, 11.662, 10.742, 8.879, 9.54, 11.054, 3846, 537, 3061, 490, 46, 53, 437, 10.652, 2.731, 10.816
51.txt, 9.687, 10.153, 7.728, 8.355, 10.518, 2487, 345, 2001, 322, 34, 30, 292, 9.471, 2.618, 9.317
52.txt, 9.022, 7.709, 6.435, 7.363, 7.578, 3109, 459, 2383, 420, 38, 26, 394, 11.053, 2.536, 6.19
53.txt, 8.23, 8.049, 6.496, 7.406, 7.989, 6032, 897, 4779, 830, 78, 54, 776, 10.641, 2.489, 6.506
54.txt, 11.309, 11.183, 8.475, 9.691, 11.674, 4250, 610, 3381, 549, 37, 44, 505, 14.838, 2.612, 8.015
6.txt, 6.481, 2.869, 4.339, 4.339, 6.445, 547, 84, 395, 68, 17, 4, 64, 4.0, 2.515, 5.882
7.txt, 9.631, 8.038, 5.795, 5.787, 10.174, 838, 126, 647, 102, 19, 8, 94, 5.368, 2.706, 7.843
8.txt, 7.688, 5.199, 4.57, 4.845, 7.236, 703, 106, 512, 87, 17, 5, 82, 5.118, 2.575, 5.747
9.txt, 8.032, 7.711, 8.613, 8.642, 8.044, 1131, 163, 864, 147, 18, 17, 130, 8.167, 2.531, 11.565
