filename	stressed_first_v,_W	c_in_the_end,_W	c_in_the_beginning,_W	two_syl_open_syls,_W	three_syl_open_syls,_W	one_syl,_W	two_syl_W	one_syl_cvc,_W	one_syl_begin_cc,_W	two_syl_begin_cc,_W	two_syl_1th_stressed,_W	three_syl_2nd_stressed,_W	two_syl_2nd_stressed,_W	three_syl_1th_stressed,_W	three_syl_cv_pattern,_W	four_syl_cv_pattern,_W	nom,_S	acc,_S	dat,_S	abl,_S	sent_simple,_S	sent_two_homogen,_S	sent_three_homogen,_S	no_predic,_S	sent_complic_soch,_S	verbs_pers,_S	parenth_S	one_syl_end_cc,_W	two_syl_middle_cc,_W	three_syl_begin_cc,_W	three_syl_middle_cc,_W	three_syl_end_cc,_W	four_syl_cc_on_the_edge,_W	five_syl_cv_pattern,_W	adv,_W	numeral,_W	a_pro,_W	gen,_S	ins,_S	coord_conjs_num,_S	sent_complic_depend,_S	inverse,_S	s_pro_S	three_syl_3rd_stressed,_W	three_syl_cc_on_the_edge,_W	five_syl_cc_on_the_edge,_W	rare_obsol,_W	foreign,_W	alt_conjs_num,_S	particip_clause_S
C:\Users\Mike\PycharmProjects\readability\classifier_data\18.txt	0.17333333333333334	0.41333333333333333	0.64	0.14666666666666667	0.04	0.26666666666666666	0.32	0.02666666666666667	0.05333333333333334	0.06666666666666667	0.24	0.09333333333333334	0.08	0.05333333333333334	0.02666666666666667	0.013333333333333334	0.5	1.625	0.0	1.0	0.0	0.0	0.25	0.5	0.25	0.375	0.125	0.013333333333333334	0.13333333333333333	0.04	0.16	0.02666666666666667	0.05333333333333334	0.0	0.36363636363636365	0.0	0.125	0.75	0.375	0.625	0.0	0.125	0.375	0.06666666666666667	0.09333333333333334	0.013333333333333334	0.0	0.0	0.25	0.0
C:\Users\Mike\PycharmProjects\readability\classifier_data\19.txt	0.075	0.35	0.875	0.2	0.125	0.125	0.35	0.0	0.025	0.15	0.175	0.175	0.175	0.075	0.05	0.0	1.0	1.0	0.125	0.5	0.25	0.0	0.0	0.25	0.125	0.875	0.0	0.025	0.075	0.125	0.225	0.025	0.075	0.0	0.1111111111111111	0.025	0.0	0.25	0.125	0.125	0.0	0.875	0.0	0.075	0.125	0.0	0.0	0.0	0.0	0.0
C:\Users\Mike\PycharmProjects\readability\classifier_data\2.txt	0.16568047337278108	0.35502958579881655	0.6745562130177515	0.1301775147928994	0.11834319526627218	0.23668639053254437	0.3076923076923077	0.029585798816568046	0.04142011834319527	0.08284023668639054	0.21301775147928995	0.10059171597633136	0.09467455621301775	0.07692307692307693	0.10059171597633136	0.005917159763313609	0.6666666666666666	3.5	0.5	1.6666666666666667	0.0	0.08333333333333333	0.25	0.3333333333333333	0.3333333333333333	1.25	0.08333333333333333	0.03550295857988166	0.11242603550295859	0.04142011834319527	0.10650887573964497	0.0	0.0650887573964497	0.0	0.4166666666666667	0.0	0.17647058823529413	0.9166666666666666	0.08333333333333333	0.75	0.25	0.5	1.0833333333333333	0.047337278106508875	0.05325443786982249	0.011834319526627219	0.0	0.0	0.3333333333333333	0.08333333333333333
C:\Users\Mike\PycharmProjects\readability\classifier_data\20.txt	0.13861386138613863	0.43564356435643564	0.7326732673267327	0.1188118811881188	0.06930693069306931	0.21782178217821782	0.42574257425742573	0.009900990099009901	0.06930693069306931	0.16831683168316833	0.22772277227722773	0.07920792079207921	0.19801980198019803	0.04950495049504951	0.07920792079207921	0.019801980198019802	0.6666666666666666	2.2	0.06666666666666667	0.7333333333333333	0.0	0.3333333333333333	0.06666666666666667	0.3333333333333333	0.06666666666666667	0.4666666666666667	0.0	0.0	0.16831683168316833	0.019801980198019802	0.12871287128712872	0.0	0.009900990099009901	0.0	0.38461538461538464	0.009900990099009901	0.08695652173913043	0.2	0.2	0.4	0.06666666666666667	0.2	0.13333333333333333	0.0891089108910891	0.09900990099009901	0.0	0.0	0.0	0.0	0.0
C:\Users\Mike\PycharmProjects\readability\classifier_data\21.txt	0.058823529411764705	0.32941176470588235	0.7294117647058823	0.17647058823529413	0.058823529411764705	0.17647058823529413	0.32941176470588235	0.011764705882352941	0.09411764705882353	0.09411764705882353	0.17647058823529413	0.08235294117647059	0.15294117647058825	0.08235294117647059	0.011764705882352941	0.03529411764705882	0.9285714285714286	1.1428571428571428	0.14285714285714285	0.6428571428571429	0.0	0.07142857142857142	0.07142857142857142	0.42857142857142855	0.0	0.5	0.07142857142857142	0.011764705882352941	0.11764705882352941	0.03529411764705882	0.1411764705882353	0.0	0.09411764705882353	0.0	0.4166666666666667	0.0	0.05555555555555555	0.7857142857142857	0.2857142857142857	0.07142857142857142	0.0	0.21428571428571427	0.2857142857142857	0.023529411764705882	0.10588235294117647	0.03529411764705882	0.0	0.0	0.07142857142857142	0.07142857142857142
C:\Users\Mike\PycharmProjects\readability\classifier_data\22.txt	0.16289592760180996	0.33031674208144796	0.7239819004524887	0.10407239819004525	0.07692307692307693	0.3031674208144796	0.31221719457013575	0.027149321266968326	0.03619909502262444	0.06787330316742081	0.16289592760180996	0.1085972850678733	0.1493212669683258	0.06787330316742081	0.049773755656108594	0.0	1.2	1.32	0.12	1.04	0.0	0.48	0.08	0.36	0.0	0.88	0.04	0.027149321266968326	0.14479638009049775	0.02262443438914027	0.11764705882352941	0.02262443438914027	0.04072398190045249	0.0	0.64	0.0	0.12698412698412698	0.16	0.2	0.76	0.16	0.16	0.44	0.05429864253393665	0.07239819004524888	0.013574660633484163	0.0	0.0	0.24	0.0
C:\Users\Mike\PycharmProjects\readability\classifier_data\23.txt	0.10454545454545454	0.31363636363636366	0.7863636363636364	0.12272727272727273	0.06363636363636363	0.2318181818181818	0.32727272727272727	0.045454545454545456	0.03636363636363636	0.05909090909090909	0.16363636363636364	0.15454545454545454	0.16363636363636364	0.05	0.05454545454545454	0.01818181818181818	1.0666666666666667	2.3333333333333335	0.4	1.8666666666666667	0.0	0.3333333333333333	0.26666666666666666	0.2	0.26666666666666666	1.4666666666666666	0.13333333333333333	0.004545454545454545	0.18181818181818182	0.022727272727272728	0.15	0.013636363636363636	0.05454545454545454	0.004545454545454545	0.24324324324324326	0.013636363636363636	0.024096385542168676	1.0	1.1333333333333333	0.7333333333333333	0.26666666666666666	0.26666666666666666	0.26666666666666666	0.022727272727272728	0.11363636363636363	0.031818181818181815	0.0	0.0	0.4666666666666667	0.2
C:\Users\Mike\PycharmProjects\readability\classifier_data\24.txt	0.09259259259259259	0.3888888888888889	0.674074074074074	0.08888888888888889	0.07407407407407407	0.1814814814814815	0.3074074074074074	0.02962962962962963	0.03333333333333333	0.07037037037037037	0.1962962962962963	0.08518518518518518	0.1111111111111111	0.07407407407407407	0.05555555555555555	0.018518518518518517	1.2272727272727273	2.6363636363636362	0.18181818181818182	2.227272727272727	0.0	0.18181818181818182	0.045454545454545456	0.3181818181818182	0.09090909090909091	0.36363636363636365	0.0	0.011111111111111112	0.1259259259259259	0.014814814814814815	0.11851851851851852	0.011111111111111112	0.06296296296296296	0.0	0.4375	0.0	0.15315315315315314	0.9545454545454546	0.13636363636363635	0.2727272727272727	0.22727272727272727	0.5909090909090909	0.22727272727272727	0.03333333333333333	0.09259259259259259	0.040740740740740744	0.0	0.0	0.18181818181818182	0.09090909090909091
C:\Users\Mike\PycharmProjects\readability\classifier_data\25.txt	0.08085106382978724	0.49361702127659574	0.7659574468085106	0.09361702127659574	0.08085106382978724	0.2425531914893617	0.3404255319148936	0.07659574468085106	0.03829787234042553	0.1574468085106383	0.2127659574468085	0.12340425531914893	0.1276595744680851	0.07234042553191489	0.05531914893617021	0.0	0.6666666666666666	2.4444444444444446	0.07407407407407407	1.037037037037037	0.07407407407407407	0.2222222222222222	0.07407407407407407	0.5185185185185185	0.3333333333333333	0.8148148148148148	0.0	0.02553191489361702	0.14893617021276595	0.08085106382978724	0.1574468085106383	0.00425531914893617	0.0425531914893617	0.00425531914893617	0.4772727272727273	0.00425531914893617	0.17142857142857143	0.3333333333333333	0.14814814814814814	0.2962962962962963	0.037037037037037035	0.4074074074074074	0.25925925925925924	0.05531914893617021	0.10638297872340426	0.00851063829787234	0.0	0.0	0.1111111111111111	0.07407407407407407
C:\Users\Mike\PycharmProjects\readability\classifier_data\26.txt	0.08185053380782918	0.3096085409252669	0.7437722419928826	0.11387900355871886	0.09252669039145907	0.16370106761565836	0.302491103202847	0.02491103202846975	0.042704626334519574	0.07473309608540925	0.19217081850533807	0.0711743772241993	0.1103202846975089	0.08185053380782918	0.0498220640569395	0.03202846975088968	1.16	2.72	0.12	1.76	0.0	0.08	0.08	0.36	0.2	0.4	0.04	0.0	0.1103202846975089	0.0498220640569395	0.08896797153024912	0.0035587188612099642	0.06761565836298933	0.0071174377224199285	0.5714285714285714	0.0035587188612099642	0.1650485436893204	0.36	0.68	0.2	0.2	0.28	0.28	0.03558718861209965	0.07473309608540925	0.03202846975088968	0.0	0.0	0.16	0.12
