filename,stressed_first_v_W,c_in_the_end_W,c_in_the_beginning_W,two_syl_open_syls_W,three_syl_open_syls_W,one_syl_W,two_syl_W,one_syl_cvc_W,one_syl_begin_cc_W,two_syl_begin_cc_W,two_syl_1th_stressed_W,three_syl_2nd_stressed_W,two_syl_2nd_stressed_W,three_syl_1th_stressed_W,three_syl_cv_pattern_W,four_syl_cv_pattern_W,nom_W,acc_W,dat_W,abl_W,sent_simple_S,sent_two_homogen_S,sent_three_homogen_S,no_predic_S,sent_complic_soch_S,verbs_pers_S,parenth_S,one_syl_end_cc_W,two_syl_middle_cc_W,three_syl_begin_cc_W,three_syl_middle_cc_W,three_syl_end_cc_W,four_syl_cc_on_the_edge_W,five_syl_cv_pattern_W,adv_W,gen_W,ins_W,numeral_W,a_pro_W,coord_conjs_num_S,sent_complic_depend_S,inverse_S,s_pro_S,three_syl_3rd_stressed_W,three_syl_cc_on_the_edge_W,five_syl_cc_on_the_edge_W,rare_obsol_W,foreign_W,alt_conjs_num_S,particip_clause_S,avg_len_in_chars,len_in_chars,len_in_words
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_afrika.txt,0.2037037037037037,0.4444444444444444,0.7222222222222222,0.07407407407407407,0.1111111111111111,0.2777777777777778,0.24074074074074073,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.18518518518518517,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.09259259259259259,0.037037037037037035,0.2962962962962963,0.05555555555555555,0.05555555555555555,0.0,0.0,0.2,0.0,0.6,0.6,0.8,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.0,0.018518518518518517,0.0,0.4,0.16666666666666666,0.0,0.018518518518518517,0.19047619047619047,0.6,0.2,0.2,0.2,0.0,0.037037037037037035,0.05555555555555555,0.07407407407407407,0.0,0.0,0.0,0.4645061728395062,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_antarktida.txt,0.16216216216216217,0.2972972972972973,0.7297297297297297,0.14864864864864866,0.05405405405405406,0.3918918918918919,0.25675675675675674,0.0945945945945946,0.04054054054054054,0.02702702702702703,0.17567567567567569,0.04054054054054054,0.08108108108108109,0.06756756756756757,0.05405405405405406,0.02702702702702703,0.17567567567567569,0.08108108108108109,0.02702702702702703,0.0,0.0,0.25,0.0,0.625,0.5,0.5,0.0,0.02702702702702703,0.0945945945945946,0.02702702702702703,0.05405405405405406,0.0,0.06756756756756757,0.0,0.4,0.0945945945945946,0.02702702702702703,0.02702702702702703,0.3157894736842105,0.125,0.25,0.125,0.5,0.013513513513513514,0.05405405405405406,0.013513513513513514,0.02702702702702703,0.0,0.25,0.125,0.3918918918918919,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_avstralia.txt,0.0967741935483871,0.5483870967741935,0.7096774193548387,0.016129032258064516,0.03225806451612903,0.22580645161290322,0.20967741935483872,0.03225806451612903,0.06451612903225806,0.016129032258064516,0.12903225806451613,0.12903225806451613,0.08064516129032258,0.04838709677419355,0.06451612903225806,0.0,0.3548387096774194,0.08064516129032258,0.0,0.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.0,0.04838709677419355,0.04838709677419355,0.03225806451612903,0.0967741935483871,0.0,0.16129032258064516,0.0,0.6666666666666666,0.16129032258064516,0.0,0.03225806451612903,0.2631578947368421,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0.016129032258064516,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.5430107526881721,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_bulvar_koltso.txt,0.15384615384615385,0.34615384615384615,0.7051282051282052,0.10256410256410256,0.14102564102564102,0.21794871794871795,0.23076923076923078,0.02564102564102564,0.038461538461538464,0.038461538461538464,0.1282051282051282,0.15384615384615385,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.0,0.28205128205128205,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.038461538461538464,0.08974358974358974,0.02564102564102564,0.14102564102564102,0.0,0.02564102564102564,0.01282051282051282,0.5,0.11538461538461539,0.01282051282051282,0.02564102564102564,0.34782608695652173,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.038461538461538464,0.10256410256410256,0.01282051282051282,0.01282051282051282,0.0,0.3333333333333333,0.0,0.46047008547008544,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_dikie_svinji.txt,0.09210526315789473,0.2631578947368421,0.7368421052631579,0.11842105263157894,0.039473684210526314,0.14473684210526316,0.2894736842105263,0.02631578947368421,0.02631578947368421,0.09210526315789473,0.15789473684210525,0.02631578947368421,0.13157894736842105,0.06578947368421052,0.039473684210526314,0.039473684210526314,0.17105263157894737,0.10526315789473684,0.039473684210526314,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714,1.1428571428571428,0.14285714285714285,0.0,0.11842105263157894,0.039473684210526314,0.06578947368421052,0.0,0.09210526315789473,0.013157894736842105,0.5454545454545454,0.14473684210526316,0.07894736842105263,0.05263157894736842,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.0,0.02631578947368421,0.06578947368421052,0.05263157894736842,0.0,0.0,0.0,0.14285714285714285,0.537280701754386,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_doistor_vremena.txt,0.19444444444444445,0.2638888888888889,0.6388888888888888,0.1527777777777778,0.1111111111111111,0.25,0.3333333333333333,0.027777777777777776,0.041666666666666664,0.125,0.20833333333333334,0.1111111111111111,0.125,0.06944444444444445,0.05555555555555555,0.013888888888888888,0.16666666666666666,0.1388888888888889,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.25,0.0,0.0,0.16666666666666666,0.041666666666666664,0.1111111111111111,0.0,0.027777777777777776,0.013888888888888888,0.16666666666666666,0.2638888888888889,0.0,0.0,0.09090909090909091,2.5,0.0,0.25,0.5,0.027777777777777776,0.05555555555555555,0.041666666666666664,0.0,0.0,0.0,0.0,0.42939814814814814,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_doma_mira.txt,0.1743119266055046,0.3577981651376147,0.7064220183486238,0.1651376146788991,0.08256880733944955,0.3669724770642202,0.29357798165137616,0.06422018348623854,0.05504587155963303,0.09174311926605505,0.1743119266055046,0.08256880733944955,0.11926605504587157,0.06422018348623854,0.05504587155963303,0.0,0.22018348623853212,0.06422018348623854,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.6363636363636364,1.0909090909090908,0.09090909090909091,0.027522935779816515,0.11926605504587157,0.01834862385321101,0.08256880733944955,0.01834862385321101,0.01834862385321101,0.009174311926605505,0.3125,0.13761467889908258,0.027522935779816515,0.009174311926605505,0.16666666666666666,0.45454545454545453,0.09090909090909091,0.6363636363636364,0.36363636363636365,0.045871559633027525,0.06422018348623854,0.009174311926605505,0.0,0.0,0.2727272727272727,0.0,0.3960244648318043,0.5,1.0
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_drevnya_moda.txt,0.13157894736842105,0.32894736842105265,0.7105263157894737,0.10526315789473684,0.05263157894736842,0.14473684210526316,0.2894736842105263,0.0,0.0,0.10526315789473684,0.19736842105263158,0.14473684210526316,0.09210526315789473,0.07894736842105263,0.013157894736842105,0.02631578947368421,0.17105263157894737,0.13157894736842105,0.0,0.0,0.0,0.2,0.2,0.4,0.8,1.8,0.0,0.0,0.09210526315789473,0.07894736842105263,0.21052631578947367,0.0,0.02631578947368421,0.0,0.07692307692307693,0.11842105263157894,0.06578947368421052,0.013157894736842105,0.28,1.0,0.0,0.2,0.0,0.013157894736842105,0.11842105263157894,0.07894736842105263,0.013157894736842105,0.0,0.0,0.2,0.537280701754386,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_dvizh_zhizn.txt,0.08108108108108109,0.2972972972972973,0.7837837837837838,0.14864864864864866,0.08108108108108109,0.1891891891891892,0.28378378378378377,0.013513513513513514,0.04054054054054054,0.04054054054054054,0.17567567567567569,0.16216216216216217,0.10810810810810811,0.013513513513513514,0.06756756756756757,0.0,0.13513513513513514,0.14864864864864866,0.04054054054054054,0.0,0.0,0.5,0.0,0.5,0.5,1.3333333333333333,0.16666666666666666,0.0,0.06756756756756757,0.0945945945945946,0.12162162162162163,0.04054054054054054,0.08108108108108109,0.0,0.2,0.0945945945945946,0.02702702702702703,0.0,0.25,0.5,0.0,0.3333333333333333,0.8333333333333334,0.08108108108108109,0.08108108108108109,0.0,0.0,0.0,0.3333333333333333,0.0,0.46734234234234234,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_golubi.txt,0.06578947368421052,0.42105263157894735,0.7368421052631579,0.11842105263157894,0.09210526315789473,0.10526315789473684,0.3026315789473684,0.013157894736842105,0.02631578947368421,0.039473684210526314,0.21052631578947367,0.10526315789473684,0.09210526315789473,0.07894736842105263,0.13157894736842105,0.013157894736842105,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.0,0.0,0.0,0.25,0.375,0.25,1.25,0.0,0.0,0.10526315789473684,0.039473684210526314,0.07894736842105263,0.02631578947368421,0.09210526315789473,0.0,0.2727272727272727,0.13157894736842105,0.09210526315789473,0.0,0.038461538461538464,0.375,0.125,0.25,0.375,0.07894736842105263,0.06578947368421052,0.02631578947368421,0.0,0.0,0.0,0.0,0.493421052631579,0.5,0.75
