text,stressed_first_v_W,c_in_the_end_W,c_in_the_beginning_W,two_syl_open_syls_W,three_syl_open_syls_W,one_syl_W,two_syl_W,one_syl_cvc_W,one_syl_begin_cc_W,two_syl_begin_cc_W,two_syl_1th_stressed_W,three_syl_2nd_stressed_W,two_syl_2nd_stressed_W,three_syl_1th_stressed_W,three_syl_cv_pattern_W,four_syl_cv_pattern_W,nom_W,acc_W,dat_W,abl_W,sent_simple_S,sent_two_homogen_S,sent_three_homogen_S,no_predic_S,sent_complic_soch_S,verbs_pers_S,parenth_S,one_syl_end_cc_W,two_syl_middle_cc_W,three_syl_begin_cc_W,three_syl_middle_cc_W,three_syl_end_cc_W,four_syl_cc_on_the_edge_W,five_syl_cv_pattern_W,adv_W,gen_W,ins_W,numeral_W,a_pro_W,coord_conjs_num_S,sent_complic_depend_S,inverse_S,s_pro_S,three_syl_3rd_stressed_W,three_syl_cc_on_the_edge_W,five_syl_cc_on_the_edge_W,rare_obsol_W,foreign_W,alt_conjs_num_S,particip_clause_S
Они примелькались нам за зиму. Эти молчаливые птицы в черном <comma>  без всяких украшений <comma>  в монашеском одеянии. В морозные туманные утра <comma>  когда густая игольчатая изморозь одевала бурьян <comma>  кусты <comma>  провода и деревья <comma>  они долго сидели на белых тополях и кленах <comma>  и в лучах утреннего солнца седыми казались их спины от намерзшего за ночь на перо дыхания. Уже вороны и галки давно разлетелись по привычным местам <comma>  а грачи все сидели <comma>  распушившись: пусть хоть немножко потеплеет.
Тысячи чужих грачей остаются ежегодно зимовать в наших городах <comma>  но мы <comma>  поглядывая на заваленные снегом гнезда <comma>  ожидаем горластых спутников весны задолго до ее прихода. Иногда в зимний день из гнезда торчал черный вздрагивающий хвост – это <comma>  спрятавшись от своих <comma>  чтобы спокойно перекусить <comma>  топталась на гнезде с мерзлым куском ворона. В оттепель у двух-трех гнезд часами сидели парочки настоящих хозяев <comma>  почему-то все чаще и чаще остающихся зимовать на месте. Они были миролюбиво настроены по отношению ко всем воронам <comma>  галкам и грачам <comma>  дремавшим рядом <comma>  но весны они не делали.
Грач относится к тем птицам <comma>  которые считают <comma>  что в тесноте <comma>  да не в обиде. Не так редко приходится видеть <comma>  как начатые строиться отдельно два гнезда становились одним. В старых лесополосах Каменной степи есть деревья <comma>  увенчанные сплошными огромными шапками <comma>  в которых не различить отдельных гнезд. В центре Липецка стоит раскидистый ясень <comma>  на котором умещается сотня гнезд <comma>  и дерево не чувствует себя от этого хуже.
Год от года возникают новые грачиные семьи <comma>  год от года растут грачиные поселения…,эти <delim> и <delim> и <delim> и <delim> утреннего <delim> их <delim> от <delim> и <delim> а <delim> ее <delim> из <delim> это <delim> от <delim> у <delim> и <delim> и <delim> есть <delim> ясень <delim> и <delim> от <delim> этого <delim> от <delim> от,примелькались <delim> нам <delim> черном <delim> без <delim> всяких <delim> украшений <delim> монашеском <delim> изморозь <delim> бурьян <delim> белых <delim> тополях <delim> кленах <delim> лучах <delim> казались <delim> их <delim> от <delim> ночь <delim> разлетелись <delim> привычным <delim> местам <delim> распушившись <delim> пусть <delim> хоть <delim> потеплеет <delim> чужих <delim> грачей <delim> зимовать <delim> наших <delim> городах <delim> снегом <delim> ожидаем <delim> горластых <delim> спутников <delim> зимний <delim> день <delim> из <delim> торчал <delim> черный <delim> вздрагивающий <delim> хвост <delim> спрятавшись <delim> от <delim> своих <delim> перекусить <delim> топталась <delim> мерзлым <delim> куском <delim> оттепель <delim> двух <delim> трех <delim> гнезд <delim> настоящих <delim> хозяев <delim> зимовать <delim> всем <delim> воронам <delim> галкам <delim> грачам <delim> дремавшим <delim> рядом <delim> грач <delim> тем <delim> птицам <delim> считают <delim> так <delim> видеть <delim> как <delim> становились <delim> одним <delim> старых <delim> лесополосах <delim> каменной <delim> есть <delim> которых <delim> различить <delim> отдельных <delim> гнезд <delim> стоит <delim> раскидистый <delim> ясень <delim> котором <delim> гнезд <delim> чувствует <delim> от <delim> год <delim> от <delim> возникают <delim> год <delim> от <delim> растут,примелькались <delim> нам <delim> за <delim> зиму <delim> молчаливые <delim> птицы <delim> черном <delim> без <delim> всяких <delim> монашеском <delim> морозные <delim> туманные <delim> когда <delim> густая <delim> бурьян <delim> кусты <delim> провода <delim> деревья <delim> долго <delim> сидели <delim> на <delim> белых <delim> тополях <delim> кленах <delim> лучах <delim> солнца <delim> седыми <delim> казались <delim> спины <delim> намерзшего <delim> за <delim> ночь <delim> на <delim> перо <delim> дыхания <delim> вороны <delim> галки <delim> давно <delim> разлетелись <delim> по <delim> привычным <delim> местам <delim> грачи <delim> все <delim> сидели <delim> распушившись <delim> пусть <delim> хоть <delim> немножко <delim> потеплеет <delim> тысячи <delim> чужих <delim> грачей <delim> зимовать <delim> наших <delim> городах <delim> но <delim> мы <delim> поглядывая <delim> на <delim> заваленные <delim> снегом <delim> гнезда <delim> горластых <delim> спутников <delim> весны <delim> задолго <delim> до <delim> прихода <delim> зимний <delim> день <delim> гнезда <delim> торчал <delim> черный <delim> вздрагивающий <delim> хвост <delim> спрятавшись <delim> своих <delim> чтобы <delim> спокойно <delim> перекусить <delim> топталась <delim> на <delim> гнезде <delim> мерзлым <delim> куском <delim> ворона <delim> двух <delim> трех <delim> гнезд <delim> часами <delim> сидели <delim> парочки <delim> настоящих <delim> хозяев <delim> все <delim> чаще <delim> чаще <delim> зимовать <delim> на <delim> месте <delim> были <delim> миролюбиво <delim> настроены <delim> по <delim> ко <delim> всем <delim> воронам <delim> галкам <delim> грачам <delim> дремавшим <delim> рядом <delim> но <delim> весны <delim> не <delim> делали <delim> грач <delim> тем <delim> птицам <delim> которые <delim> считают <delim> что <delim> тесноте <delim> да <delim> не <delim> не <delim> так <delim> редко <delim> приходится <delim> видеть <delim> как <delim> начатые <delim> строиться <delim> два <delim> гнезда <delim> становились <delim> старых <delim> лесополосах <delim> каменной <delim> степи <delim> деревья <delim> сплошными <delim> шапками <delim> которых <delim> не <delim> различить <delim> гнезд <delim> центре <delim> липецка <delim> стоит <delim> раскидистый <delim> на <delim> котором <delim> сотня <delim> гнезд <delim> дерево <delim> не <delim> чувствует <delim> себя <delim> хуже <delim> год <delim> года <delim> возникают <delim> новые <delim> грачиные <delim> семьи <delim> год <delim> года <delim> растут <delim> грачиные <delim> поселения,они <delim> зиму <delim> эти <delim> птицы <delim> утра <delim> кусты <delim> они <delim> спины <delim> перо <delim> уже <delim> грачи <delim> весны <delim> ее <delim> это <delim> чтобы <delim> чаще <delim> чаще <delim> месте <delim> они <delim> были <delim> весны <delim> они <delim> степи <delim> сотня <delim> себя <delim> хуже <delim> года <delim> года,густая <delim> провода <delim> сидели <delim> седыми <delim> вороны <delim> сидели <delim> тысячи <delim> прихода <delim> ворона <delim> часами <delim> сидели <delim> делали <delim> тесноте <delim> обиде <delim> шапками <delim> дерево <delim> этого <delim> новые,нам <delim> за <delim> без <delim> и <delim> на <delim> и <delim> и <delim> их <delim> от <delim> за <delim> ночь <delim> на <delim> и <delim> по <delim> а <delim> все <delim> пусть <delim> хоть <delim> но <delim> мы <delim> на <delim> до <delim> день <delim> из <delim> хвост <delim> от <delim> на <delim> у <delim> двух <delim> трех <delim> гнезд <delim> все <delim> и <delim> на <delim> по <delim> ко <delim> всем <delim> и <delim> но <delim> не <delim> грач <delim> тем <delim> что <delim> да <delim> не <delim> не <delim> так <delim> как <delim> два <delim> есть <delim> не <delim> гнезд <delim> на <delim> гнезд <delim> и <delim> не <delim> от <delim> год <delim> от <delim> год <delim> от,они <delim> зиму <delim> эти <delim> птицы <delim> черном <delim> всяких <delim> утра <delim> когда <delim> бурьян <delim> кусты <delim> они <delim> долго <delim> белых <delim> кленах <delim> лучах <delim> солнца <delim> спины <delim> перо <delim> уже <delim> галки <delim> давно <delim> местам <delim> грачи <delim> чужих <delim> грачей <delim> наших <delim> снегом <delim> гнезда <delim> весны <delim> ее <delim> зимний <delim> гнезда <delim> торчал <delim> черный <delim> это <delim> своих <delim> чтобы <delim> гнезде <delim> мерзлым <delim> куском <delim> чаще <delim> чаще <delim> месте <delim> они <delim> были <delim> галкам <delim> грачам <delim> рядом <delim> весны <delim> они <delim> птицам <delim> редко <delim> видеть <delim> гнезда <delim> одним <delim> старых <delim> степи <delim> центре <delim> стоит <delim> ясень <delim> сотня <delim> себя <delim> хуже <delim> года <delim> семьи <delim> года <delim> растут,нам <delim> без <delim> тем <delim> так <delim> как <delim> год <delim> год,все <delim> хвост <delim> двух <delim> трех <delim> гнезд <delim> все <delim> всем <delim> грач <delim> что <delim> два <delim> гнезд <delim> гнезд,птицы <delim> всяких <delim> кленах <delim> спины <delim> грачи <delim> грачей <delim> снегом <delim> гнезда <delim> гнезда <delim> своих <delim> чтобы <delim> гнезде <delim> грачам <delim> птицам <delim> гнезда <delim> старых <delim> степи <delim> стоит,зиму <delim> эти <delim> птицы <delim> всяких <delim> долго <delim> белых <delim> кленах <delim> солнца <delim> галки <delim> наших <delim> снегом <delim> ее <delim> зимний <delim> это <delim> чтобы <delim> мерзлым <delim> чаще <delim> чаще <delim> месте <delim> были <delim> галкам <delim> грачам <delim> рядом <delim> птицам <delim> редко <delim> видеть <delim> старых <delim> центре <delim> ясень <delim> сотня <delim> хуже <delim> года <delim> года,деревья <delim> сидели <delim> седыми <delim> казались <delim> вороны <delim> привычным <delim> сидели <delim> немножко <delim> горластых <delim> задолго <delim> прихода <delim> спокойно <delim> топталась <delim> ворона <delim> часами <delim> сидели <delim> хозяев <delim> воронам <delim> дремавшим <delim> считают <delim> обиде <delim> отдельно <delim> деревья <delim> сплошными <delim> которых <delim> отдельных <delim> котором,они <delim> черном <delim> утра <delim> когда <delim> бурьян <delim> кусты <delim> они <delim> лучах <delim> спины <delim> перо <delim> уже <delim> давно <delim> местам <delim> грачи <delim> чужих <delim> грачей <delim> гнезда <delim> весны <delim> гнезда <delim> торчал <delim> черный <delim> своих <delim> гнезде <delim> куском <delim> они <delim> весны <delim> они <delim> гнезда <delim> одним <delim> степи <delim> стоит <delim> себя <delim> семьи <delim> растут,густая <delim> провода <delim> тысячи <delim> спутников <delim> спрятавшись <delim> парочки <delim> делали <delim> строиться <delim> каменной <delim> шапками <delim> дерево <delim> чувствует <delim> этого <delim> новые,сидели <delim> тополях <delim> седыми <delim> вороны <delim> сидели <delim> тысячи <delim> городах <delim> ворона <delim> часами <delim> сидели <delim> воронам <delim> делали <delim> обиде <delim> которых <delim> котором <delim> дерево <delim> этого,одевала,Они <delim> Эти <delim> молчаливые <delim> птицы <delim> густая <delim> игольчатая <delim> изморозь <delim> деревья <delim> они <delim> вороны <delim> галки <delim> грачи <delim> все <delim> Тысячи <delim> мы <delim> черный <delim> это <delim> парочки <delim> все <delim> Они <delim> они <delim> Грач <delim> которые <delim> деревья <delim> раскидистый <delim> ясень <delim> сотня <delim> дерево <delim> Год <delim> новые <delim> грачиные <delim> семьи <delim> год <delim> грачиные <delim> поселения,зиму <delim> морозные <delim> туманные <delim> утра <delim> бурьян <delim> кусты <delim> намерзшего <delim> ночь <delim> перо <delim> заваленные <delim> зимний <delim> день <delim> вздрагивающий <delim> хвост <delim> своих <delim> оттепель <delim> начатые <delim> два <delim> увенчанные <delim> себя,нам <delim> привычным <delim> местам <delim> отношению <delim> всем <delim> воронам <delim> грачам <delim> дремавшим <delim> тем <delim> птицам,,,Уже вороны и галки давно разлетелись по привычным местам  <comma>  а грачи все сидели  <comma>  распушившись : пусть хоть немножко потеплеет . <delim> В оттепель у двух - трех гнезд часами сидели парочки настоящих хозяев  <comma>  почему-то все чаще и чаще остающихся зимовать на месте . <delim> Грач относится к тем птицам  <comma>  которые считают  <comma>  что в тесноте  <comma>  да не в обиде . <delim> В центре Липецка стоит раскидистый ясень  <comma>  на котором умещается сотня гнезд  <comma>  и дерево не чувствует себя от этого хуже .,Они были миролюбиво настроены по отношению ко всем воронам  <comma>  галкам и грачам  <comma>  дремавшим рядом  <comma>  но весны они не делали .,Эти молчаливые птицы в черном  <comma>  без всяких украшений  <comma>  в монашеском одеянии . <delim> Не так редко приходится видеть  <comma>  как начатые строиться отдельно два гнезда становились одним . <delim> , <delim> В морозные туманные утра  <comma>  когда густая игольчатая изморозь одевала бурьян  <comma>  кусты  <comma>  провода и деревья  <comma>  они долго сидели на белых тополях и кленах  <comma>  и в лучах утреннего солнца седыми казались их спины от намерзшего за ночь на перо дыхания . <delim> Уже вороны и галки давно разлетелись по привычным местам  <comma>  а грачи все сидели  <comma>  распушившись : пусть хоть немножко потеплеет . <delim> Тысячи чужих грачей остаются ежегодно зимовать в наших городах  <comma>  но мы  <comma>  поглядывая на заваленные снегом гнезда  <comma>  ожидаем горластых спутников весны задолго до ее прихода . <delim> Иногда в зимний день из гнезда торчал черный вздрагивающий хвост – это  <comma>  спрятавшись от своих  <comma>  чтобы спокойно перекусить  <comma>  топталась на гнезде с мерзлым куском ворона . <delim> В оттепель у двух - трех гнезд часами сидели парочки настоящих хозяев  <comma>  почему-то все чаще и чаще остающихся зимовать на месте . <delim> Они были миролюбиво настроены по отношению ко всем воронам  <comma>  галкам и грачам  <comma>  дремавшим рядом  <comma>  но весны они не делали . <delim> Грач относится к тем птицам  <comma>  которые считают  <comma>  что в тесноте  <comma>  да не в обиде . <delim> В старых лесополосах Каменной степи есть деревья  <comma>  увенчанные сплошными огромными шапками  <comma>  в которых не различить отдельных гнезд . <delim> В центре Липецка стоит раскидистый ясень  <comma>  на котором умещается сотня гнезд  <comma>  и дерево не чувствует себя от этого хуже .,примелькались <delim> одевала <delim> сидели <delim> казались <delim> разлетелись <delim> сидели <delim> потеплеет <delim> остаются <delim> ожидаем <delim> торчал <delim> топталась <delim> сидели <delim> были <delim> делали <delim> относится <delim> считают <delim> приходится <delim> становились <delim> есть <delim> стоит <delim> умещается <delim> чувствует <delim> возникают <delim> растут,,ночь <delim> пусть <delim> хоть <delim> день <delim> хвост <delim> гнезд <delim> есть <delim> гнезд <delim> гнезд,черном <delim> утра <delim> когда <delim> бурьян <delim> кусты <delim> долго <delim> солнца <delim> галки <delim> давно <delim> местам <delim> гнезда <delim> весны <delim> зимний <delim> гнезда <delim> торчал <delim> черный <delim> гнезде <delim> мерзлым <delim> куском <delim> месте <delim> галкам <delim> весны <delim> редко <delim> гнезда <delim> одним <delim> центре <delim> сотня <delim> семьи <delim> растут,провода <delim> привычным <delim> спутников <delim> прихода <delim> спрятавшись <delim> спокойно <delim> дремавшим <delim> считают <delim> строиться <delim> сплошными,густая <delim> изморозь <delim> деревья <delim> привычным <delim> немножко <delim> горластых <delim> спутников <delim> задолго <delim> иногда <delim> спрятавшись <delim> спокойно <delim> топталась <delim> оттепель <delim> парочки <delim> дремавшим <delim> тесноте <delim> строиться <delim> отдельно <delim> каменной <delim> деревья <delim> сплошными <delim> шапками <delim> различить <delim> отдельных <delim> липецка <delim> чувствует,изморозь <delim> казались <delim> зимовать <delim> спрятавшись <delim> топталась <delim> оттепель <delim> зимовать <delim> различить,примелькались <delim> морозные <delim> туманные <delim> утреннего <delim> намерзшего <delim> разлетелись <delim> распушившись <delim> ежегодно <delim> огромными <delim> возникают,миролюбиво <delim> лесополосах,долго <delim> Уже <delim> давно <delim> немножко <delim> ежегодно <delim> задолго <delim> Иногда <delim> спокойно <delim> чаще <delim> чаще <delim> редко <delim> отдельно,всяких <delim> украшений <delim> провода <delim> утреннего <delim> солнца <delim> спины <delim> дыхания <delim> чужих <delim> грачей <delim> гнезда <delim> горластых <delim> спутников <delim> весны <delim> прихода <delim> гнезда <delim> ворона <delim> гнезд <delim> настоящих <delim> хозяев <delim> галкам <delim> весны <delim> гнезда <delim> Каменной <delim> степи <delim> отдельных <delim> гнезд <delim> Липецка <delim> гнезд <delim> этого <delim> года <delim> года,седыми <delim> снегом <delim> мерзлым <delim> куском <delim> часами <delim> рядом <delim> одним <delim> сплошными <delim> огромными <delim> шапками,двух <delim> трех <delim> два,,и <delim> и <delim> и <delim> и <delim> и <delim> и <delim> и, <delim> В морозные туманные утра  <comma>  когда густая игольчатая изморозь одевала бурьян  <comma>  кусты  <comma>  провода и деревья  <comma>  они долго сидели на белых тополях и кленах  <comma>  и в лучах утреннего солнца седыми казались их спины от намерзшего за ночь на перо дыхания . <delim> В центре Липецка стоит раскидистый ясень  <comma>  на котором умещается сотня гнезд  <comma>  и дерево не чувствует себя от этого хуже . <delim> Год от года возникают новые грачиные семьи  <comma>  год от года растут грачиные поселения …,В оттепель у двух - трех гнезд часами сидели парочки настоящих хозяев  <comma>  почему-то все чаще и чаще остающихся зимовать на месте . <delim> В старых лесополосах Каменной степи есть деревья  <comma>  увенчанные сплошными огромными шапками  <comma>  в которых не различить отдельных гнезд . <delim> В центре Липецка стоит раскидистый ясень  <comma>  на котором умещается сотня гнезд  <comma>  и дерево не чувствует себя от этого хуже .,Они <delim> нам <delim> Эти <delim> всяких <delim> они <delim> их <delim> все <delim> наших <delim> мы <delim> ее <delim> своих <delim> все <delim> Они <delim> всем <delim> они <delim> тем <delim> которые <delim> одним <delim> которых <delim> котором <delim> себя <delim> этого,изморозь <delim> тополях <delim> зимовать <delim> городах <delim> иногда <delim> оттепель <delim> зимовать <delim> тесноте <delim> различить <delim> липецка,изморозь <delim> привычным <delim> немножко <delim> горластых <delim> задолго <delim> иногда <delim> спрятавшись <delim> спокойно <delim> парочки <delim> дремавшим <delim> строиться <delim> отдельно <delim> каменной <delim> сплошными <delim> различить <delim> отдельных <delim> липецка <delim> чувствует,молчаливые <delim> игольчатая <delim> поглядывая <delim> заваленные <delim> остающихся <delim> увенчанные,Липецка,,а <delim> но <delim> но <delim> да,Тысячи чужих грачей остаются ежегодно зимовать в наших городах  <comma>  но мы  <comma>  поглядывая на заваленные снегом гнезда  <comma>  ожидаем горластых спутников весны задолго до ее прихода . <delim> Они были миролюбиво настроены по отношению ко всем воронам  <comma>  галкам и грачам  <comma>  дремавшим рядом  <comma>  но весны они не делали . <delim> В старых лесополосах Каменной степи есть деревья  <comma>  увенчанные сплошными огромными шапками  <comma>  в которых не различить отдельных гнезд .
