text,stressed_first_v_W,c_in_the_end_W,c_in_the_beginning_W,two_syl_open_syls_W,three_syl_open_syls_W,one_syl_W,two_syl_W,one_syl_cvc_W,one_syl_begin_cc_W,two_syl_begin_cc_W,two_syl_1th_stressed_W,three_syl_2nd_stressed_W,two_syl_2nd_stressed_W,three_syl_1th_stressed_W,three_syl_cv_pattern_W,four_syl_cv_pattern_W,nom_W,acc_W,dat_W,abl_W,sent_simple_S,sent_two_homogen_S,sent_three_homogen_S,no_predic_S,sent_complic_soch_S,verbs_pers_S,parenth_S,one_syl_end_cc_W,two_syl_middle_cc_W,three_syl_begin_cc_W,three_syl_middle_cc_W,three_syl_end_cc_W,four_syl_cc_on_the_edge_W,five_syl_cv_pattern_W,adv_W,gen_W,ins_W,numeral_W,a_pro_W,coord_conjs_num_S,sent_complic_depend_S,inverse_S,s_pro_S,three_syl_3rd_stressed_W,three_syl_cc_on_the_edge_W,five_syl_cc_on_the_edge_W,rare_obsol_W,foreign_W,alt_conjs_num_S,particip_clause_S
Было это очень давно <comma>  тысячу лет назад. В Новгородской земле <comma>  на берегу маленькой речки стояла небольшая деревня. Одним концом деревня спускалась к реке <comma>  другим упиралась в лес. У леса стоял вырезанный из дубовой колоды бог Перун. Глаза у него были – блестящие камушки <comma>  усы и борода посеребрены <comma>  колпак крашен красной краской. Жители деревни молились ему <comma>  чтобы уродилась на полях рожь и чтобы была удачной охота.
А возле реки <comma>  в крайней избе жил ладейный мастер дед Овсеня с внуком Васютой. Дед был уже стар <comma>  а Васюте шёл пятнадцатый год.
Васюта помогал деду <comma>  приучался к ремеслу и многому уже научился. Дед Овсеня <comma>  глядя на него <comma>  часто думал: «Хороший мастер выйдет из Васюты с годами».
Пока дед учил Васюту <comma>  они делали только малые челны. Но Васюте не терпелось <comma>  и как-то он спросил деда: «Дедушка <comma>  а когда мы будем ладить ладью?»
«Всему своё время <comma>  - ответил дед – Ладью сладить непросто. Придёт пора <comma>  сладим с тобой и ладью».,это <delim> очень <delim> у <delim> из <delim> у <delim> и <delim> и <delim> а <delim> а <delim> и <delim> из <delim> и <delim> он <delim> а <delim> и,очень <delim> лет <delim> назад <delim> новгородской <delim> маленькой <delim> одним <delim> концом <delim> спускалась <delim> другим <delim> упиралась <delim> лес <delim> стоял <delim> вырезанный <delim> из <delim> дубовой <delim> бог <delim> перун <delim> колпак <delim> крашен <delim> красной <delim> краской <delim> молились <delim> уродилась <delim> полях <delim> рожь <delim> удачной <delim> крайней <delim> жил <delim> ладейный <delim> мастер <delim> дед <delim> внуком <delim> васютой <delim> дед <delim> был <delim> стар <delim> шёл <delim> пятнадцатый <delim> год <delim> помогал <delim> дед <delim> думал <delim> хороший <delim> мастер <delim> выйдет <delim> из <delim> дед <delim> учил <delim> терпелось <delim> он <delim> спросил <delim> будем <delim> ладить <delim> ответил <delim> дед <delim> сладить <delim> придёт <delim> сладим <delim> тобой,было <delim> давно <delim> тысячу <delim> лет <delim> назад <delim> новгородской <delim> земле <delim> на <delim> берегу <delim> маленькой <delim> речки <delim> стояла <delim> небольшая <delim> деревня <delim> концом <delim> деревня <delim> спускалась <delim> реке <delim> другим <delim> лес <delim> леса <delim> стоял <delim> вырезанный <delim> дубовой <delim> колоды <delim> бог <delim> перун <delim> глаза <delim> него <delim> были <delim> блестящие <delim> камушки <delim> борода <delim> посеребрены <delim> колпак <delim> крашен <delim> красной <delim> краской <delim> жители <delim> деревни <delim> молились <delim> чтобы <delim> на <delim> полях <delim> рожь <delim> чтобы <delim> была <delim> возле <delim> реки <delim> крайней <delim> жил <delim> ладейный <delim> мастер <delim> дед <delim> внуком <delim> васютой <delim> дед <delim> был <delim> стар <delim> васюте <delim> шёл <delim> пятнадцатый <delim> год <delim> васюта <delim> помогал <delim> деду <delim> приучался <delim> ремеслу <delim> многому <delim> научился <delim> дед <delim> глядя <delim> на <delim> него <delim> часто <delim> думал <delim> хороший <delim> мастер <delim> выйдет <delim> васюты <delim> годами <delim> пока <delim> дед <delim> васюту <delim> делали <delim> только <delim> малые <delim> челны <delim> но <delim> васюте <delim> не <delim> терпелось <delim> спросил <delim> деда <delim> дедушка <delim> когда <delim> мы <delim> будем <delim> ладить <delim> ладью <delim> всему <delim> своё <delim> время <delim> дед <delim> ладью <delim> сладить <delim> непросто <delim> придёт <delim> пора <delim> сладим <delim> тобой <delim> ладью,было <delim> это <delim> реке <delim> леса <delim> глаза <delim> него <delim> были <delim> усы <delim> ему <delim> чтобы <delim> чтобы <delim> была <delim> реки <delim> уже <delim> деду <delim> уже <delim> глядя <delim> него <delim> часто <delim> пока <delim> они <delim> деда <delim> всему <delim> своё <delim> время <delim> пора,тысячу <delim> берегу <delim> стояла <delim> колоды <delim> борода <delim> жители <delim> охота <delim> васюте <delim> васюта <delim> ремеслу <delim> многому <delim> васюты <delim> годами <delim> васюту <delim> делали <delim> малые <delim> васюте <delim> непросто,лет <delim> на <delim> лес <delim> у <delim> из <delim> бог <delim> у <delim> и <delim> на <delim> рожь <delim> и <delim> а <delim> жил <delim> дед <delim> дед <delim> был <delim> стар <delim> а <delim> шёл <delim> год <delim> и <delim> дед <delim> на <delim> из <delim> дед <delim> но <delim> не <delim> и <delim> он <delim> а <delim> мы <delim> дед <delim> и,было <delim> это <delim> очень <delim> давно <delim> назад <delim> земле <delim> речки <delim> одним <delim> концом <delim> реке <delim> другим <delim> леса <delim> стоял <delim> перун <delim> глаза <delim> него <delim> были <delim> усы <delim> колпак <delim> крашен <delim> красной <delim> краской <delim> ему <delim> чтобы <delim> полях <delim> чтобы <delim> была <delim> возле <delim> реки <delim> крайней <delim> избе <delim> мастер <delim> внуком <delim> уже <delim> деду <delim> уже <delim> глядя <delim> него <delim> часто <delim> думал <delim> мастер <delim> выйдет <delim> пока <delim> учил <delim> они <delim> только <delim> челны <delim> спросил <delim> деда <delim> когда <delim> будем <delim> ладить <delim> ладью <delim> всему <delim> своё <delim> время <delim> ладью <delim> сладить <delim> придёт <delim> пора <delim> сладим <delim> тобой <delim> ладью,лет <delim> лес <delim> бог <delim> жил <delim> дед <delim> дед <delim> был <delim> шёл <delim> год <delim> дед <delim> дед <delim> дед,стар,другим <delim> стоял <delim> глаза <delim> крашен <delim> красной <delim> краской <delim> чтобы <delim> чтобы <delim> крайней <delim> внуком <delim> глядя <delim> спросил <delim> всему <delim> своё <delim> время <delim> сладить <delim> придёт <delim> сладим,было <delim> это <delim> очень <delim> речки <delim> были <delim> крашен <delim> красной <delim> краской <delim> чтобы <delim> чтобы <delim> возле <delim> реки <delim> крайней <delim> мастер <delim> внуком <delim> деду <delim> глядя <delim> часто <delim> думал <delim> мастер <delim> выйдет <delim> только <delim> деда <delim> будем <delim> ладить <delim> ладью <delim> время <delim> ладью <delim> сладить <delim> сладим <delim> ладью,стояла <delim> деревня <delim> деревня <delim> спускалась <delim> колоды <delim> деревни <delim> молились <delim> удачной <delim> охота <delim> ладейный <delim> васютой <delim> васюте <delim> васюта <delim> хороший <delim> васюты <delim> годами <delim> васюту <delim> васюте <delim> ответил <delim> непросто,давно <delim> назад <delim> земле <delim> одним <delim> концом <delim> реке <delim> другим <delim> леса <delim> стоял <delim> перун <delim> глаза <delim> него <delim> усы <delim> колпак <delim> ему <delim> полях <delim> была <delim> избе <delim> уже <delim> уже <delim> него <delim> пока <delim> учил <delim> они <delim> челны <delim> спросил <delim> когда <delim> всему <delim> своё <delim> придёт <delim> пора <delim> тобой,тысячу <delim> маленькой <delim> камушки <delim> жители <delim> многому <delim> делали <delim> малые <delim> дедушка,тысячу <delim> берегу <delim> дубовой <delim> колоды <delim> борода <delim> жители <delim> охота <delim> васютой <delim> васюте <delim> васюта <delim> помогал <delim> хороший <delim> васюты <delim> годами <delim> васюту <delim> делали <delim> васюте,,это <delim> небольшая <delim> деревня <delim> деревня <delim> бог <delim> Перун <delim> Глаза <delim> блестящие <delim> камушки <delim> борода <delim> Жители <delim> рожь <delim> охота <delim> ладейный <delim> мастер <delim> дед <delim> Овсеня <delim> Дед <delim> пятнадцатый <delim> Васюта <delim> Дед <delim> Овсеня <delim> Хороший <delim> мастер <delim> дед <delim> они <delim> малые <delim> челны <delim> он <delim> Дедушка <delim> мы <delim> дед <delim> Ладью,тысячу <delim> лес <delim> вырезанный <delim> него <delim> усы <delim> колпак <delim> год <delim> него <delim> Васюту <delim> деда <delim> ладью <delim> своё <delim> время <delim> ладью,другим <delim> ему <delim> крайней <delim> избе <delim> Васюте <delim> деду <delim> ремеслу <delim> многому <delim> Васюте <delim> Всему,,,Было это очень давно  <comma>  тысячу лет назад . <delim> В Новгородской земле  <comma>  на берегу маленькой речки стояла небольшая деревня . <delim> Но Васюте не терпелось  <comma>  и как-то он спросил деда : « Дедушка  <comma>  а когда мы будем ладить ладью ? » <delim> Придёт пора  <comma>  сладим с тобой и ладью » .,Глаза у него были – блестящие камушки  <comma>  усы и борода посеребрены  <comma>  колпак крашен красной краской . <delim> Васюта помогал деду  <comma>  приучался к ремеслу и многому уже научился .,Было это очень давно  <comma>  тысячу лет назад . <delim> Придёт пора  <comma>  сладим с тобой и ладью » . <delim> , <delim> Глаза у него были – блестящие камушки  <comma>  усы и борода посеребрены  <comma>  колпак крашен красной краской . <delim> Жители деревни молились ему  <comma>  чтобы уродилась на полях рожь и чтобы была удачной охота . <delim> А возле реки  <comma>  в крайней избе жил ладейный мастер дед Овсеня с внуком Васютой . <delim> Дед был уже стар  <comma>  а Васюте шёл пятнадцатый год . <delim> Васюта помогал деду  <comma>  приучался к ремеслу и многому уже научился . <delim> Но Васюте не терпелось  <comma>  и как-то он спросил деда : « Дедушка  <comma>  а когда мы будем ладить ладью ? » <delim> Придёт пора  <comma>  сладим с тобой и ладью » .,Было <delim> стояла <delim> спускалась <delim> упиралась <delim> стоял <delim> были <delim> молились <delim> уродилась <delim> была <delim> жил <delim> был <delim> шёл <delim> помогал <delim> приучался <delim> научился <delim> думал <delim> выйдет <delim> учил <delim> делали <delim> терпелось <delim> спросил <delim> будем <delim> ответил <delim> Придёт <delim> сладим,,рожь,давно <delim> земле <delim> речки <delim> одним <delim> концом <delim> колпак <delim> красной <delim> краской <delim> возле <delim> крайней <delim> избе <delim> мастер <delim> часто <delim> мастер <delim> выйдет <delim> только <delim> челны <delim> спросил <delim> когда <delim> ладью <delim> ладью <delim> ладью,стояла <delim> спускалась <delim> многому,маленькой <delim> деревня <delim> деревня <delim> спускалась <delim> камушки <delim> деревни <delim> удачной <delim> ладейный <delim> овсеня <delim> ремеслу <delim> овсеня <delim> терпелось <delim> дедушка <delim> ответил <delim> непросто,спускалась <delim> молились <delim> терпелось,новгородской <delim> небольшая <delim> вырезанный <delim> пятнадцатый <delim> приучался <delim> научился,,очень <delim> давно <delim> назад <delim> уже <delim> уже <delim> часто <delim> непросто <delim> пора,лет <delim> маленькой <delim> речки <delim> леса <delim> дубовой <delim> колоды <delim> деревни <delim> реки,Одним <delim> концом <delim> крашен <delim> красной <delim> краской <delim> удачной <delim> внуком <delim> Васютой <delim> годами <delim> тобой,пятнадцатый,,и <delim> и <delim> и <delim> и <delim> и, <delim> Одним концом деревня спускалась к реке  <comma>  другим упиралась в лес . <delim> Жители деревни молились ему  <comma>  чтобы уродилась на полях рожь и чтобы была удачной охота . <delim> Пока дед учил Васюту  <comma>  они делали только малые челны . <delim> Но Васюте не терпелось  <comma>  и как-то он спросил деда : « Дедушка  <comma>  а когда мы будем ладить ладью ? »,В Новгородской земле  <comma>  на берегу маленькой речки стояла небольшая деревня . <delim> У леса стоял вырезанный из дубовой колоды бог Перун . <delim> Жители деревни молились ему  <comma>  чтобы уродилась на полях рожь и чтобы была удачной охота . <delim> А возле реки  <comma>  в крайней избе жил ладейный мастер дед Овсеня с внуком Васютой . <delim> Но Васюте не терпелось  <comma>  и как-то он спросил деда : « Дедушка  <comma>  а когда мы будем ладить ладью ? » <delim> « Всему своё время  <comma>  - ответил дед – Ладью сладить непросто .,это <delim> Одним <delim> другим <delim> него <delim> ему <delim> многому <delim> него <delim> они <delim> он <delim> мы <delim> Всему <delim> своё <delim> тобой,берегу <delim> дубовой <delim> борода <delim> овсеня <delim> помогал <delim> ремеслу <delim> овсеня <delim> терпелось,маленькой <delim> деревня <delim> деревня <delim> камушки <delim> деревни <delim> удачной <delim> ладейный <delim> овсеня <delim> овсеня <delim> терпелось <delim> дедушка,посеребрены,,,а <delim> а,У леса стоял вырезанный из дубовой колоды бог Перун .
