filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
443051_chudesa.txt, 5.257, 5.581, 5.324, 5.132, 5.321, 11260, 1687, 8896, 1733, 115, 38, 1695, 15.07, 2.181, 2.193
443051_dyadya-i-plemyannik.txt, 7.463, 7.402, 6.116, 5.787, 7.718, 4519, 646, 3605, 667, 38, 16, 651, 17.553, 2.28, 2.399
443051_konets-skazki-o-krepkom-orehe.txt, 8.492, 8.528, 6.936, 7.585, 8.851, 10893, 1504, 8837, 1569, 95, 69, 1500, 16.516, 2.376, 4.398
443051_kukolnoe-tsarstvo.txt, 9.216, 8.283, 7.21, 7.522, 8.899, 7185, 1006, 5798, 1046, 56, 40, 1006, 18.679, 2.379, 3.824
443051_lyubimets.txt, 5.972, 5.735, 6.143, 5.817, 5.829, 5326, 798, 4223, 828, 47, 20, 808, 17.617, 2.174, 2.415
443051_pobeda.txt, 5.259, 5.807, 5.384, 5.456, 5.524, 10192, 1498, 8061, 1553, 107, 40, 1513, 14.514, 2.193, 2.576
443051_podarki.txt, 7.308, 7.597, 6.668, 7.155, 7.791, 5398, 786, 4332, 793, 48, 31, 762, 16.521, 2.293, 3.909
443051_prodolzhenie-skazki-o-krepkom-orehe.txt, 9.357, 9.004, 8.223, 8.891, 9.953, 7081, 995, 5770, 1021, 51, 51, 970, 20.02, 2.358, 4.995
443051_skazka-o-krepkom-orehe.txt, 8.878, 8.43, 7.597, 8.145, 9.091, 8764, 1211, 7126, 1280, 68, 57, 1223, 18.824, 2.352, 4.453
443051_sochelnik.txt, 9.068, 8.771, 7.889, 7.804, 10.013, 5891, 833, 4735, 848, 39, 30, 818, 21.744, 2.3, 3.538
443051_srazhenie.txt, 7.418, 7.924, 6.665, 7.455, 7.969, 6871, 969, 5548, 997, 67, 47, 950, 14.881, 2.337, 4.714
443051_stolitsa.txt, 9.232, 9.194, 6.843, 7.424, 9.618, 10855, 1473, 8777, 1526, 92, 64, 1462, 16.587, 2.427, 4.194
443051_zaklyuchenie.txt, 6.841, 6.595, 6.57, 6.557, 6.864, 8536, 1245, 6793, 1294, 72, 39, 1255, 17.972, 2.227, 3.014
443355_I-1.txt, 9.933, 9.284, 8.502, 9.492, 10.095, 8455, 1132, 6960, 1217, 64, 73, 1144, 19.016, 2.422, 5.998
443355_I-2.txt, 7.671, 7.722, 7.266, 8.047, 7.961, 16097, 2288, 13105, 2391, 143, 117, 2274, 16.72, 2.314, 4.893
443355_I-3.txt, 7.951, 7.253, 8.214, 9.13, 7.723, 8929, 1279, 7295, 1362, 73, 77, 1285, 18.658, 2.29, 5.653
443355_I-4.txt, 10.195, 9.249, 9.062, 10.275, 10.023, 10036, 1354, 8288, 1450, 77, 103, 1347, 18.831, 2.444, 7.103
443355_I-5.txt, 8.359, 8.013, 7.573, 8.235, 8.519, 7715, 1082, 6322, 1149, 63, 54, 1095, 18.238, 2.328, 4.7
443355_II-1.txt, 11.075, 10.16, 10.12, 11.43, 11.539, 10163, 1367, 8398, 1438, 67, 111, 1327, 21.463, 2.447, 7.719
443355_II-10.txt, 8.543, 8.237, 6.987, 7.341, 8.724, 3058, 439, 2486, 448, 25, 17, 431, 17.92, 2.348, 3.795
443355_II-11.txt, 9.732, 8.613, 9.17, 10.341, 9.44, 8296, 1132, 6804, 1218, 62, 84, 1134, 19.645, 2.393, 6.897
443355_II-12.txt, 8.825, 8.467, 8.122, 9.163, 8.908, 19066, 2640, 15605, 2786, 160, 170, 2616, 17.413, 2.379, 6.102
443355_II-2.txt, 9.505, 8.384, 9.26, 10.218, 9.515, 4503, 637, 3669, 665, 31, 41, 624, 21.452, 2.337, 6.165
