Лемма ;Частота (ipm) ;Ранг ;
узнавать;88.2;1394;
встретиться;88.1;1395;
предусмотреть;87.7;1402;
обеспечивать;87.5;1409;
двигаться;87.3;1413;
содержать;87.2;1417;
приезжать;86.8;1426;
держаться;86.4;1430;
обеспечить;86.4;1431;
поступить;86.0;1435;
привыкнуть;85.9;1437;
открывать;85.7;1440;
вырасти;85.3;1448;
зайти;85.2;1450;
посвятить;85.1;1453;
стремиться;85.1;1454;
измениться;84.5;1466;
удивиться;84.3;1472;
падать;84.2;1473;
звучать;84.1;1475;
суметь;83.9;1481;
разработать;83.5;1486;
поговорить;83.3;1489;
лететь;82.9;1495;
совершить;82.9;1496;
строить;82.2;1504;
кончиться;82.0;1508;
привезти;82.0;1510;
сложиться;81.6;1514;
оставлять;81.4;1515;
полагать;81.4;1516;
висеть;81.3;1517;
повторить;80.9;1531;
сыграть;80.8;1533;
спасти;80.1;1541;
изменить;79.9;1544;
повторять;79.9;1545;
явиться;79.8;1548;
замечать;79.4;1553;
подать;79.4;1555;
назначить;79.3;1560;
протянуть;79.3;1561;
сохранить;79.2;1564;
попытаться;79.1;1566;
расположить;79.1;1567;
использоваться;79.0;1568;
отправиться;78.2;1581;
садиться;77.9;1586;
встречать;77.4;1591;
говориться;77.3;1592;
крикнуть;77.2;1593;
готовить;76.7;1600;
учить;76.7;1602;
гореть;76.6;1603;
испытывать;76.6;1604;
выделить;76.4;1607;
поддерживать;75.9;1611;
подниматься;75.9;1612;
следить;75.8;1614;
требоваться;75.5;1621;
включать;75.4;1623;
собирать;75.1;1630;
менять;74.9;1633;
делаться;74.7;1635;
покупать;74.5;1640;
предполагать;74.1;1646;
терять;74.0;1648;
послать;73.3;1657;
допустить;73.0;1660;
прочитать;72.7;1667;
присутствовать;72.5;1669;
взглянуть;72.4;1671;
мечтать;72.4;1673;
подписать;72.4;1674;
осуществлять;72.2;1678;
поступать;72.1;1680;
готовиться;70.9;1704;
захотеть;70.4;1713;
бороться;70.3;1716;
отдавать;70.3;1717;
остановить;70.2;1720;
приобрести;70.2;1723;
включить;70.1;1724;
продолжаться;69.9;1727;
подтвердить;69.7;1732;
спешить;69.7;1735;
добиться;69.5;1737;
отправить;69.3;1745;
повернуться;69.3;1746;
вставать;69.1;1751;
подготовить;69.1;1752;
исходить;69.0;1753;
свидетельствовать;68.8;1758;
ввести;68.6;1759;
взяться;68.6;1760;
прочесть;68.6;1762;
болеть;68.5;1765;
вернуть;68.5;1766;
тянуть;68.5;1767;
продать;68.3;1770;
представляться;67.8;1777;
произвести;67.5;1784;
выступить;67.2;1790;
пахнуть;67.2;1792;
познакомиться;67.2;1793;
наступить;67.1;1798;
предстоять;66.8;1803;
производить;66.5;1809;
перевести;66.4;1812;
разрешить;66.4;1813;
проверить;66.1;1817;
меняться;66.0;1819;
выдержать;65.7;1828;
учитывать;65.6;1833;
курить;65.5;1834;
забывать;65.4;1836;
заключаться;65.4;1837;
выбирать;65.2;1844;
напомнить;65.2;1848;
закричать;65.1;1851;
организовать;65.1;1852;
доказать;65.0;1857;
приносить;64.9;1861;
осуществляться;64.7;1864;
дышать;64.4;1871;
описать;64.4;1873;
прожить;64.2;1879;
оценить;64.0;1889;
рассмотреть;63.9;1891;
проводиться;63.7;1895;
лечь;63.5;1899;
превратиться;63.5;1900;
выпустить;63.4;1903;
ударить;63.3;1907;
проснуться;63.1;1914;
открыться;63.0;1917;
способствовать;62.5;1930;
научиться;62.1;1940;
умирать;62.0;1947;
стрелять;61.7;1951;
обойтись;61.6;1953;
записать;61.5;1956;
определяться;61.5;1959;
подарить;61.4;1963;
приняться;61.3;1967;
заставлять;61.0;1974;
схватить;60.9;1979;
пропасть;60.8;1981;
выдать;60.4;1987;
извинить;60.1;1992;
разобраться;60.1;1993;
опустить;59.9;1997;
страдать;59.8;1999;
заходить;59.6;2000;
побежать;59.6;2003;
броситься;59.5;2004;
гулять;59.5;2005;
бегать;59.2;2016;
засмеяться;58.9;2024;
найтись;58.8;2028;
приказать;58.8;2029;
устать;58.6;2037;
повезти;58.5;2040;
рассчитывать;58.2;2050;
опубликовать;58.0;2053;
радоваться;57.8;2057;
выразить;57.7;2060;
закончиться;57.7;2061;
обернуться;57.7;2062;
отпустить;57.6;2066;
заговорить;57.5;2068;
внести;57.4;2070;
устраивать;57.4;2075;
выясниться;57.2;2078;
догадаться;57.1;2079;
изучать;57.0;2084;
интересовать;57.0;2085;
поднимать;56.9;2090;
развиваться;56.8;2092;
обращать;56.6;2097;
подождать;56.6;2098;
продавать;56.3;2108;
бросать;56.2;2110;
поддержать;56.2;2115;
запретить;56.1;2119;
отмечать;56.0;2126;
отойти;55.9;2130;
ощущать;55.9;2131;
прибыть;55.7;2137;
случаться;55.5;2144;
сойти;55.4;2148;
поймать;55.2;2154;
заключить;55.1;2157;
признаться;55.1;2159;
сомневаться;55.0;2162;
усмехнуться;55.0;2163;
договориться;54.8;2168;
предоставить;54.7;2173;
удаваться;54.3;2184;
сходить;54.2;2187;
попадать;54.1;2190;
пустить;54.1;2191;
указывать;54.0;2195;
терпеть;53.7;2202;
сдать;53.6;2205;
вывести;53.4;2210;
выпускать;53.4;2211;
вступить;53.1;2223;
спорить;53.1;2224;
вытащить;53.0;2227;
победить;52.9;2231;
посадить;52.9;2232;
обсуждать;52.8;2237;
заняться;52.7;2239;
переходить;52.6;2246;
торопиться;52.6;2249;
выиграть;52.3;2256;
надеть;52.1;2261;
кормить;52.0;2265;
переживать;51.6;2272;
потребовать;51.6;2273;
жалеть;51.4;2277;
сохраниться;51.4;2280;
вынести;51.3;2281;
отказываться;51.2;2287;
заглянуть;51.0;2292;
защищать;51.0;2293;
основать;51.0;2295;
лишить;50.9;2299;
пожать;50.9;2303;
уезжать;50.7;2311;
воскликнуть;50.5;2317;
дрожать;50.5;2318;
сообщать;50.3;2324;
жениться;50.0;2330;
лезть;50.0;2331;
волноваться;49.9;2334;
поразить;49.9;2336;
велеть;49.8;2341;
убивать;49.8;2345;
решиться;49.7;2349;
добраться;49.6;2352;
задуматься;49.6;2354;
нуждаться;49.5;2359;
позвать;49.5;2360;
удивляться;49.4;2367;
здравствовать;49.3;2369;
передавать;49.3;2371;
скрывать;49.3;2374;
запомнить;49.2;2376;
подавать;49.0;2389;
покинуть;49.0;2390;
послушать;49.0;2391;
пережить;48.9;2396;
продолжить;48.8;2400;
раздаться;48.8;2401;
оказывать;48.2;2430;
превышать;48.2;2431;
ловить;48.0;2436;
забрать;47.9;2438;
испугаться;47.8;2441;
утвердить;47.8;2442;
применять;47.7;2446;
убедиться;47.7;2448;
заменить;47.6;2449;
приглашать;47.5;2454;
привлечь;47.4;2459;
везти;47.0;2472;
убрать;47.0;2474;
предположить;46.9;2477;
летать;46.6;2488;
признавать;46.4;2499;
повести;46.3;2501;
подчеркнуть;46.3;2502;
покрыть;46.3;2503;
предпочитать;46.3;2505;
прислать;46.3;2506;
жаловаться;46.1;2511;
решаться;46.1;2513;
успокоиться;46.1;2514;
исключить;46.0;2515;
отсутствовать;45.9;2522;
владеть;45.7;2530;
торчать;45.5;2537;
постараться;45.2;2546;
соединить;45.2;2547;
убедить;45.2;2548;
задавать;45.1;2550;
заложить;45.0;2552;
реализовать;44.8;2562;
выяснить;44.6;2566;
исполнять;44.5;2568;
общаться;44.5;2569;
повернуть;44.5;2571;
останавливаться;44.4;2573;
совершать;44.2;2577;
воевать;44.1;2578;
выдавать;44.1;2579;
задать;44.1;2580;
ненавидеть;44.1;2581;
родить;44.1;2582;
наступать;44.0;2585;
выявить;43.8;2590;
предупредить;43.8;2592;
набрать;43.7;2594;
предназначить;43.7;2595;
уничтожить;43.6;2602;
учесть;43.6;2603;
освободить;43.5;2606;
воспринимать;43.4;2612;
прекратить;43.4;2617;
увеличить;43.3;2624;
наблюдаться;43.2;2625;
объединить;43.2;2627;
подозревать;43.2;2628;
справиться;43.2;2631;
съесть;43.2;2632;
вестись;43.1;2634;
отнести;43.1;2636;
упомянуть;43.1;2638;
отдыхать;42.9;2646;
проверять;42.9;2648;
врать;42.8;2654;
заработать;42.7;2659;
