Лемма ;Частота (ipm) ;Ранг ;
пространство;147.2;795;
выход;147.0;796;
удар;146.8;798;
база;146.7;799;
знание;146.4;800;
текст;146.2;801;
защита;145.9;804;
руководство;145.7;806;
площадь;145.2;808;
сознание;145.2;809;
возраст;144.5;812;
участник;144.2;815;
участок;144.2;816;
пункт;144.0;818;
линия;143.7;823;
желание;143.6;825;
папа;143.4;826;
доктор;143.1;829;
губа;143.0;830;
дочь;142.4;834;
среда;142.4;836;
председатель;142.3;837;
представление;142.2;838;
солдат;142.2;839;
художник;142.2;840;
волос;141.8;842;
оружие;141.8;843;
соответствие;141.0;845;
ветер;140.3;847;
парень;140.3;849;
зрение;140.2;851;
генерал;140.0;853;
огонь;139.8;855;
понятие;139.4;858;
строительство;139.4;859;
ухо;139.3;860;
грудь;138.8;862;
нос;138.8;863;
страх;138.4;868;
услуга;138.3;869;
содержание;137.3;873;
радость;137.2;874;
безопасность;137.1;875;
продукт;136.7;877;
комплекс;136.3;879;
бизнес;136.2;880;
сад;135.8;884;
сотрудник;135.1;888;
лето;135.0;889;
курс;134.5;893;
предложение;134.5;895;
рот;133.6;901;
технология;133.5;903;
реформа;133.1;906;
отсутствие;132.4;907;
собака;132.2;909;
камень;131.9;910;
будущее;131.4;911;
рассказ;131.3;913;
контроль;131.2;914;
река;131.0;916;
продукция;130.8;918;
сумма;130.6;919;
техника;130.5;920;
здание;129.9;927;
сфера;129.5;928;
необходимость;129.1;932;
фонд;128.6;934;
подготовка;127.9;937;
лист;127.6;939;
республика;127.4;942;
хозяйство;127.2;943;
воля;126.4;948;
бюджет;126.0;950;
снег;125.2;953;
деревня;125.1;954;
мужик;124.7;956;
элемент;124.4;959;
обстоятельство;124.2;960;
немец;124.1;962;
победа;124.0;964;
источник;123.7;965;
звезда;122.7;975;
выбор;122.0;977;
масса;121.7;979;
итог;121.5;981;
сестра;121.3;982;
практика;120.7;986;
проведение;120.6;990;
карман;120.5;991;
слава;120.2;996;
кухня;120.1;997;
определение;120.1;998;
функция;119.6;1001;
войско;119.4;1002;
комиссия;119.3;1003;
применение;119.3;1004;
капитан;119.0;1005;
работник;119.0;1006;
обеспечение;118.8;1009;
офицер;118.7;1010;
фамилия;118.1;1013;
предел;118.0;1014;
выборы;117.7;1017;
ученый;117.4;1020;
бутылка;117.1;1024;
бой;117.0;1025;
теория;116.5;1029;
зона;116.4;1030;
отдел;116.2;1031;
зуб;116.0;1032;
разработка;115.9;1033;
личность;115.6;1039;
гора;115.5;1040;
товар;115.5;1042;
метр;115.2;1046;
праздник;115.0;1049;
влияние;114.9;1050;
читатель;114.7;1052;
удовольствие;114.5;1054;
актер;114.4;1055;
слеза;114.2;1056;
ответственность;113.8;1059;
учитель;113.8;1060;
акт;113.6;1061;
боль;113.3;1065;
множество;113.3;1066;
особенность;113.0;1068;
показатель;112.9;1070;
корабль;112.5;1072;
звук;112.4;1074;
впечатление;112.3;1077;
частность;112.0;1079;
детство;111.9;1080;
вывод;111.8;1081;
профессор;111.8;1082;
доля;111.4;1084;
норма;111.3;1085;
прошлое;111.2;1087;
командир;110.9;1089;
коридор;110.8;1090;
поддержка;110.6;1091;
рамка;110.6;1092;
враг;110.3;1096;
этап;110.3;1098;
черт;110.2;1099;
дед;110.1;1100;
собрание;109.9;1102;
прием;109.8;1103;
болезнь;109.6;1105;
клетка;109.6;1106;
кожа;109.5;1107;
заявление;109.3;1108;
попытка;109.1;1110;
сравнение;109.1;1111;
расчет;108.9;1113;
депутат;108.7;1115;
комитет;108.1;1123;
знак;108.0;1124;
дядя;107.5;1128;
учет;107.4;1129;
хлеб;107.4;1130;
чай;106.8;1136;
режим;106.7;1137;
целое;106.6;1138;
вирус;106.5;1139;
выражение;106.4;1142;
здоровье;106.0;1146;
зима;106.0;1147;
десяток;105.7;1150;
глубина;105.6;1151;
сеть;105.5;1152;
студент;105.4;1153;
